claim_id,exact_claim_text,claim_type,section,figure,dataset,consumer,backbone,experimental_protocol,source_script,source_artifact,sample_unit,n,effect_size,confidence_interval,raw_p,multiple_testing_family,corrected_p,status,notes
PAGE-024,"Sensing again is never current. Sensing, transfer and encoding take 39.8 ms on our measured pipeline, which at 24 frames per second is already about one frame of delay before the agent moves. Writing Ac for the effective age of a stored record as that reader experiences it, the rule reduces to one comparison.",exploratory,method,,LIBERO replay; custom SAPIEN,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/libero_multi.py; audit_workspace/source/legacy/fig_frontier.py,ZIP/site/index.html:313; libero_10tasks.json; e11_frontier.json,task / demonstration (pairing unavailable),,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-025,"The rule carries no cost term, and that absence is a measured result. We measured energy and latency for both options across every cell of the fidelity ladder, and returning the stored record was cheaper in all of them. Cost therefore never changes the decision, and the rule reduces to a question of delay.",exploratory,method,,synthetic serving,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/mp_store.py; audit_workspace/source/legacy/mt_store.py,ZIP/site/index.html:320; mp_store2.json; mt_store.json,run / synthetic trace,,,,,,,NOT_SUPPORTED,Overclaimed; see RESULTS_AUDIT.md for protocol and statistical corrections.
PAGE-026,Requirement returns two values,exploratory,method,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:328; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-027,A byte tier fixes how much is kept. A reference grid fixes the coordinate system and granularity it is kept on. Section 4 shows the grid is the binding one.,exploratory,method,,DAVIS,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/relayout.py; audit_workspace/source/legacy/frame_ref.py,ZIP/site/index.html:329; relayout.json; frame_ref3.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-028,Admission follows granularity,exploratory,method,,DAVIS,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/relayout.py; audit_workspace/source/legacy/frame_ref.py,ZIP/site/index.html:333; relayout.json; frame_ref3.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-029,"When the budget cannot hold the reader's grid, FRAME falls back to the finest grid that fits, and never below the reader's own granularity if it can avoid it.",exploratory,method,,DAVIS,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/relayout.py; audit_workspace/source/legacy/frame_ref.py,ZIP/site/index.html:334; relayout.json; frame_ref3.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-030,"Order is recoverable, granularity is not",exploratory,method,,DAVIS,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/relayout.py; audit_workspace/source/legacy/frame_ref.py,ZIP/site/index.html:338; relayout.json; frame_ref3.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-031,"A permutation can be stored as 104 bytes of metadata and undone in about 10 microseconds, measured at 9.65 to 10.02 across four tiers. Coarsening cannot be undone by any metadata.",exploratory,method,,DAVIS,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/relayout.py; audit_workspace/source/legacy/frame_ref.py,ZIP/site/index.html:339; relayout.json; frame_ref3.json,video,,,,,,,CONTRADICTED,"104 B is a coding lower bound, not the implemented index storage; 144 int64 indices require 1152 B."
PAGE-032,Reads are routed by delay,exploratory,method,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:343; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-033,"One comparison of two ages selects among returning the record, predicting it forward, or sensing again. No cost term appears, because cost never decided in any measured cell.",exploratory,method,,LIBERO replay; custom SAPIEN,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/libero_multi.py; audit_workspace/source/legacy/fig_frontier.py,ZIP/site/index.html:344; libero_10tasks.json; e11_frontier.json,task / demonstration (pairing unavailable),,,,,,,NOT_SUPPORTED,Overclaimed; see RESULTS_AUDIT.md for protocol and statistical corrections.
PAGE-034,03 · WHICH READER IS BEST SERVED,exploratory,chart,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:355; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-035,The reader with the lowest error changes as the record ages.,exploratory,chart,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:356; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-036,"This is the measurement the whole design rests on. We hold the record and its size fixed, vary its age, and ask which of the three readers has the lowest error.",exploratory,chart,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:358; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-037,"For a record of a given size and age, which reader does it serve best?",exploratory,chart,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:363; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-038,"Thirteen JPEG tiers from 886 bytes to 117 kilobytes, crossed with ten record ages from 0 to 40 frames, on 90 DAVIS sequences of 60 frames each. Three readers score the fraction of their own decisions corrupted.",exploratory,chart,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:365; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-039,"Each reader's error is divided by its own no-memory baseline, measured inside its own pipeline. Without this the comparison measures how hard each reader's task is instead of how much the memory helps.",exploratory,chart,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:368; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-040,"If one reader were best at every age, a single fidelity setting would be correct and the rest of this work would be unnecessary.",exploratory,chart,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:371; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-041,"Figure 2. Each reader has a region where its error is lowest. The latent dynamics reader is lowest where records are large and recent. The symbolic reader is lowest across small sizes and middle ages. The metric reader is lowest where records are large and old. Panel A is internally consistent, since its main run and its baseline come from one code path. Panel B is marked as pending for the reason given in Section 8.",exploratory,chart,Figure 2,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:385; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-042,"Figure 3. The structure reproduces on a second encoder. The whole pipeline was rebuilt from raw video with CLIP, which supplies a different latent and therefore a different latent reader, together with a different linear probe and therefore a different symbolic reader. The same three-part structure appears. The position of the boundary differs and is less sharp under CLIP, at 108 of 130 cells confirmed against 123 of 130. The structure is the design rule. The position of the boundary is a per-deployment measurement.",exploratory,chart,Figure 3,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:394; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-043,"camel, stored at JPEG quality 50 and 224 pixels. The latent reader has zero error while the record is recent and reaches 6.91 times its own no-memory baseline by age 20. The symbolic reader stays between 0.72 and 1.50 across the whole range.",exploratory,chart,,synthetic serving,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/mp_store.py; audit_workspace/source/legacy/mt_store.py,ZIP/site/index.html:409; mp_store2.json; mt_store.json,run / synthetic trace,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-044,"car-roundabout, stored at JPEG quality 50 and 518 pixels. The latent reader holds zero error through age 8, then rises to 1.94 by age 20. By age 40 the metric reader has the lowest error at 0.90.",exploratory,chart,,synthetic serving,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/mp_store.py; audit_workspace/source/legacy/mt_store.py,ZIP/site/index.html:418; mp_store2.json; mt_store.json,run / synthetic trace,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-045,"Video 1. One stored record, read back as it ages. The left panel is the actual payload the store holds, encoded at the stated tier and then held fixed. The right panel is the scene as it actually is at that moment. The curves are the measured error of each reader for that specific sequence at that specific tier, each divided by its own no-memory baseline for that sequence. Every plotted value comes from the measurement files, and the dashed line at 1.0 marks the point where the stored record stops being worth more than holding nothing.",exploratory,chart,,synthetic serving,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/mp_store.py; audit_workspace/source/legacy/mt_store.py,ZIP/site/index.html:423; mp_store2.json; mt_store.json,run / synthetic trace,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-046,StatementDINOv2CLIP,exploratory,chart,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:435; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-047,Symbolic reader lowest at the oldest age13 / 13 tiers13 / 13 tiers,exploratory,chart,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:437; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-048,Latent reader lowest at age zero5 / 136 / 13,exploratory,chart,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:438; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-049,The two readers change order5 / 56 / 6,exploratory,chart,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:439; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-050,Latent error grows faster than symbolic erroryesyes,exploratory,chart,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:440; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-051,"Cells confirmed at 95 percent, bootstrap over videos123 / 130108 / 130",exploratory,chart,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:441; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-052,"Error gap at age 40, largest tier+0.74, 95 percent interval +0.31 to +1.16",exploratory,chart,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:442; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-053,ReaderNo-memory baselineDINOv2CLIP,exploratory,chart,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:447; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-054,"Symbolic, which region holds the object0.245 / 0.2479963",exploratory,chart,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:449; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-055,"Metric, position and area within tolerance0.383 / 0.3531043",exploratory,chart,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:450; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
PAGE-056,"Latent, cosine change of the patch feature0.390 / 0.2602124",exploratory,chart,,DAVIS; SegTrack where specified,see exact claim/protocol,see source; not inferred,historical source; exact run identity not fully archived,audit_workspace/source/legacy/core.py; audit_workspace/source/legacy/fig_e21.py,ZIP/site/index.html:451; q1q3_all90.json; e21_clip.json,video,,,,,,,PROVISIONAL,"Exact source statement retained; not independently confirmed merely by appearance in draft/page. Missing fields are unknown or inapplicable, not zero."
